variant,batch_index,source_index,objective,parameter_group,pair,cosine,left_norm,right_norm,left_targets,right_targets,left_loss,right_loss
full_control,6,23,total,deep_backbone,medium-large,0.9732434749603271,161.49795532226562,8537.3408203125,20,1,21.670063257217407,951.9425010681152
full_control,6,23,total,neck,small-medium,-0.04760214686393738,10.001350402832031,174.6240692138672,247,20,15.687613010406494,21.670063257217407
full_control,6,23,total,neck,small-large,0.029863866046071053,10.001350402832031,9161.208984375,247,1,15.687613010406494,951.9425010681152
full_control,6,23,total,neck,medium-large,0.9817053079605103,174.6240692138672,9161.208984375,20,1,21.670063257217407,951.9425010681152
full_control,7,24,localization,shared_features,small-medium,0.14901132881641388,13.37193775177002,9.041494369506836,125,12,13.106725692749023,31.57579755783081
full_control,7,24,localization,shared_features,small-large,-0.04676509276032448,13.37193775177002,17.446985244750977,125,6,13.106725692749023,68.72060775756836
full_control,7,24,localization,shared_features,medium-large,0.024090297520160675,9.041494369506836,17.446985244750977,12,6,31.57579755783081,68.72060775756836
full_control,7,24,localization,shared_predictors,small-medium,0.15582424402236938,10.2123384475708,6.050483703613281,125,12,13.106725692749023,31.57579755783081
full_control,7,24,localization,shared_predictors,small-large,0.01501457579433918,10.2123384475708,10.875929832458496,125,6,13.106725692749023,68.72060775756836
full_control,7,24,localization,shared_predictors,medium-large,0.12587502598762512,6.050483703613281,10.875929832458496,12,6,31.57579755783081,68.72060775756836
full_control,7,24,localization,deep_backbone,small-medium,0.20512749254703522,22.27303695678711,30.19697380065918,125,12,13.106725692749023,31.57579755783081
full_control,7,24,localization,deep_backbone,small-large,0.020450588315725327,22.27303695678711,78.97335815429688,125,6,13.106725692749023,68.72060775756836
full_control,7,24,localization,deep_backbone,medium-large,0.17282319068908691,30.19697380065918,78.97335815429688,12,6,31.57579755783081,68.72060775756836
full_control,7,24,localization,neck,small-medium,0.1017736941576004,20.229633331298828,25.494098663330078,125,12,13.106725692749023,31.57579755783081
full_control,7,24,localization,neck,small-large,0.0160593893378973,20.229633331298828,76.27727508544922,125,6,13.106725692749023,68.72060775756836
